,id,name,normalized_name,gender
0,7,Children,children,n
1,12,Mechanical Santa,mechanical santa,n
2,13,Tattoo Man,tattoo man,n
3,16,DOCTOR ZITSOFSKY,doctor zitsofsky,n
4,20,Students,students,n
5,24,Little Boy,little boy,n
6,26,Lewis Clark,lewis clark,n
7,27,Little Girl,little girl,n
8,29,Bubbles,bubbles,n
9,30,Moldy,moldy,n
10,34,Ticket Seller,ticket seller,n
11,35,Elf #1,elf 1,n
12,36,Elves,elves,n
13,37,Dog's Owner,dogs owner,n
14,39,Kids,kids,n
15,41,Conductor,conductor,n
16,42,Secretary,secretary,n
17,46,Sydney,sydney,n
18,47,Cecile Shapiro,cecile shapiro,n
19,48,Ian,ian,n
20,49,Calvin,calvin,n
21,50,"Martin Prince, Sr.",martin prince sr,n
22,51,Richard,richard,n
23,53,Wendell Borton,wendell borton,n
24,57,Smilin' Joe Fission,smilin joe fission,n
25,58,Rod #1,rod 1,n
26,59,Rod #2,rod 2,n
27,60,RODS,rods,n
28,61,Workman #1,workman 1,n
29,62,Foreman,foreman,n
30,63,TERRI & SHERRI,terri sherri,n
31,64,PUNK TEENAGER,punk teenager,n
32,65,Tv Announcer #1,tv announcer 1,n
33,66,Tv Announcer #2,tv announcer 2,n
34,67,Jingle Chorus,jingle chorus,n
35,68,Sylvia Winfield,sylvia winfield,n
36,69,Old Man Winfield,old man winfield,n
37,70,Councilman #1,councilman 1,n
38,72,Councilman #2,councilman 2,n
39,73,COUNCILMEN #1/#2,councilmen 12,n
40,74,Demonstrator #1,demonstrator 1,n
41,75,Crowd,crowd,n
42,76,MR. GAMMILL,mr gammill,n
43,77,TOM,tom,n
44,78,Mrs. Long,mrs long,n
45,79,Wife #1,wife 1,n
46,80,Wife #2,wife 2,n
47,81,Other Women,other women,n
48,82,Nice Father,nice father,n
49,83,Nice Boy,nice boy,n
50,84,NICE GIRL,nice girl,n
51,85,Nice Mother,nice mother,n
52,86,NICE FAMILY,nice family,n
53,87,Williams Boy,williams boy,n
54,88,Mr. Williams,mr williams,n
55,89,BOXING ANNOUNCER,boxing announcer,n
56,92,TV-STATION ANNOUNCER,tv-station announcer,n
57,93,Tv Wife,tv wife,n
58,94,Tv Husband,tv husband,n
59,95,Small Boy,small boy,n
60,97,Pawn Broker,pawn broker,n
61,99,Homer-ish Husband,homer-ish husband,n
62,100,Weasel #1,weasel 1,n
63,102,ALL AT THE TABLE,all at the table,n
64,103,Kid,kid,n
65,104,Weasel #2,weasel 2,n
66,105,Maggie Simpson,maggie simpson,n
67,106,Homer's Image,homers image,n
68,107,Elderly Gentleman,elderly gentleman,n
69,109,All,all,n
105,110,Ms. Barr,ms barr,n
106,113,Newsman,newsman,n
107,114,Barflies,barflies,n
108,116,Boy Onlooker,boy onlooker,n
109,117,Champ,champ,n
110,122,NED,ned,n
111,125,Homer's Canyon Echo,homers canyon echo,n
112,126,Camper Father,camper father,n
113,127,Camper Mother,camper mother,n
114,128,Photographer,photographer,n
115,129,Game Warden,game warden,n
116,130,Reporter #1,reporter 1,n
117,131,Reporter #2,reporter 2,n
118,132,Flunky,flunky,n
119,133,Map Boy,map boy,n
120,134,Man #1,man 1,n
121,135,Man #2,man 2,n
122,136,German Scientist,german scientist,n
123,137,Beautiful French Scientist,beautiful french scientist,n
124,138,English Scientist,english scientist,n
125,141,Announcer #1,announcer 1,n
126,142,Radio Announcer #1,radio announcer 1,n
127,143,Churchgoing Woman,churchgoing woman,n
128,147,Girl On Screen,girl on screen,n
129,148,Boy On Screen,boy on screen,n
130,149,Usher,usher,n
131,150,Mr. Dandy,mr dandy,n
132,151,Radio Announcer #3,radio announcer 3,n
133,152,Jebediah Springfield,jebediah springfield,n
134,154,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,n
135,155,Mob,mob,n
136,157,Waiters,waiters,n
137,158,1st Waiter Quartet,1st waiter quartet,n
138,159,2nd Waiter Quartet,2nd waiter quartet,n
139,160,3rd Waiter Quartet,3rd waiter quartet,n
140,161,4TH QUARTET OF WAITERS,4th quartet of waiters,n
141,162,Counter Guy,counter guy,n
142,164,HELEN,helen,n
143,166,Another Worker,another worker,n
144,167,Female Mail Carrier,female mail carrier,n
145,168,Mr. Fisk,mr fisk,n
146,169,Eugene Fisk,eugene fisk,n
147,172,Workers,workers,n
148,173,Princess Kashmir,princess kashmir,n
149,174,Hoyt,hoyt,n
150,175,Girl #1,girl 1,n
151,176,Boy #1,boy 1,n
152,177,All Kids,all kids,n
153,178,Freddie,freddie,n
154,179,Lewis's Dad,lewiss dad,n
155,180,Al,al,n
156,181,Happy Man,happy man,n
157,182,Funky Guy,funky guy,n
158,184,Man At Door,man at door,n
159,185,Ticket-seller,ticket-seller,n
160,186,Stage Manager,stage manager,n
161,188,Theatre-goer #1,theatre-goer 1,n
162,189,Theatre-goer #2,theatre-goer 2,n
163,190,Theatre-goer #3,theatre-goer 3,n
164,193,Steward,steward,n
165,195,Adil Hoxha,adil hoxha,n
166,196,UGOLIN,ugolin,n
167,198,Male Announcer,male announcer,n
168,199,Military Man,military man,n
169,200,MARGE & BART,marge bart,n
170,201,Gendarme,gendarme,n
171,202,Cia Agent #1,cia agent 1,n
172,203,Cia Agent #2,cia agent 2,n
173,204,Brad,brad,n
174,205,Female Announcer,female announcer,n
175,206,Brittany,brittany,n
176,207,ITCHY & SCRATCHY CHORUS,itchy scratchy chorus,n
177,209,Police Artist,police artist,n
178,210,Scott Christian,scott christian,n
179,212,Reporter #3,reporter 3,n
180,215,District Attorney,district attorney,n
181,216,Merchant,merchant,n
209,217,Foreperson,foreperson,n
210,219,Merchandiser #1,merchandiser 1,n
211,220,Merchandiser #3,merchandiser 3,n
212,221,Kbbl Weatherman,kbbl weatherman,n
213,224,Screener,screener,n
214,225,Worker One,worker one,n
215,226,Florist,florist,n
216,227,Lucille Botzcowski,lucille botzcowski,n
217,228,Maitre D',maitre d,n
218,229,Doofy,doofy,n
219,230,U-Squeal Operator,u-squeal operator,n
220,231,Tv Reporter,tv reporter,n
221,233,Bart's Voice,barts voice,n
222,234,Krabappel's Mouth,krabappels mouth,n
223,235,GRANDMA,grandma,n
224,236,Nurse Farrell,nurse farrell,n
225,241,Entire Town,entire town,n
226,242,Thomas Jefferson,thomas jefferson,n
227,243,John Adams,john adams,n
228,244,Samuel Chase,samuel chase,n
229,245,Roger Sherman,roger sherman,n
230,246,Benjamin Franklin,benjamin franklin,n
231,247,Tv Host,tv host,n
232,248,Tv Contestant,tv contestant,n
233,249,Good-looking Man,good-looking man,n
234,250,Dr. H. Boyle,dr h boyle,n
235,251,Mr. Winfield,mr winfield,n
236,252,Mourners,mourners,n
237,253,Other Runner,other runner,n
238,254,Jake,jake,n
239,255,Woman Applicant,woman applicant,n
240,257,Man In Tuxedo,man in tuxedo,n
241,258,Executive #1,executive 1,n
242,259,Executive #3,executive 3,n
243,260,Moving Man,moving man,n
244,261,House,house,n
245,262,Kang,kang,n
246,263,Serak The Preparer,serak the preparer,n
247,264,Kodos,kodos,n
248,265,V.O.,vo,n
249,266,Raven,raven,n
250,267,Dave Shutton,dave shutton,n
251,268,Chief Inspector,chief inspector,n
252,269,Dean Danielson,dean danielson,n
253,271,DANEILSON,daneilson,n
254,274,OLD BEARDED GUY,old bearded guy,n
255,275,Charles Darwin,charles darwin,n
256,276,Singers,singers,n
257,277,MARY BAILEY,mary bailey,n
258,278,Investigator #1,investigator 1,n
259,279,Investigator #2,investigator 2,n
260,280,Investigator #3,investigator 3,n
261,281,Make-up Man,make-up man,n
262,282,Gregor,gregor,n
263,283,GAMMILL,gammill,n
264,284,FLASH,flash,n
265,285,Player #1,player 1,n
266,286,P.A. Announcer,pa announcer,n
267,288,Dan Hoard,dan hoard,n
268,289,Vendor,vendor,n
269,290,VENDER,vender,n
270,291,MR. O'HARA,mr ohara,n
271,292,Man On Bus,man on bus,n
272,293,Player #2,player 2,n
273,294,Rasta #1,rasta 1,n
274,295,Rasta #2,rasta 2,n
275,296,Supervisor,supervisor,n
276,297,Tony Bennett,tony bennett,n
277,298,Capital City Goofball,capital city goofball,n
278,299,Dave Glass,dave glass,n
279,300,First Wife #3,first wife 3,n
280,301,First Wife #1,first wife 1,n
281,302,Hot Dog Man,hot dog man,n
282,303,Spectator #1,spectator 1,n
283,304,Spectator #2,spectator 2,n
284,305,Spectator #3,spectator 3,n
285,306,Clubhouse Attendant,clubhouse attendant,n
286,307,Dave Rosenfield,dave rosenfield,n
287,310,Librarian,librarian,n
288,312,SENIOR CITIZENS,senior citizens,n
289,314,Announcer #2,announcer 2,n
290,315,Mrs. Spencer,mrs spencer,n
291,316,Security Guard #1,security guard 1,n
292,317,Casey,casey,n
293,318,Rory,rory,n
294,319,Transient,transient,n
295,320,Uncle Sam,uncle sam,n
296,321,Audience,audience,n
297,322,Tv Voice #1,tv voice 1,n
298,323,Tv Voice #2,tv voice 2,n
299,324,Tv Voice #3,tv voice 3,n
300,325,ALL THREE TV VOICES,all three tv voices,n
316,326,ALL 3 ANNOUNCERS,all 3 announcers,n
317,327,LARGO,largo,n
318,328,SCRAPER,scraper,n
319,329,CLARK,clark,n
320,333,SMYTHE,smythe,n
321,334,Itchy & Scratchy Singers,itchy scratchy singers,n
322,336,Her Group,her group,n
323,337,Animator,animator,n
324,338,1ST BOARD MEMBER,1st board member,n
325,339,2nd Board Member,2nd board member,n
326,340,Squirrel,squirrel,n
327,342,Scratchy,scratchy,n
328,343,Itchy,itchy,n
329,344,Curator,curator,n
330,348,Della,della,n
331,350,Bailiff,bailiff,n
332,352,BURNS LAWYER,burns lawyer,n
333,354,Sushi Bar Chefs,sushi bar chefs,n
334,355,Hostess,hostess,n
335,357,Toshiro,toshiro,n
336,358,Master,master,n
337,359,Richie Sakai,richie sakai,n
338,360,Cellmate,cellmate,n
339,361,Crazy Calls,crazy calls,n
340,362,Smitty,smitty,n
341,363,Larry King,larry king,n
342,364,LARRY KING V.O.,larry king vo,n
343,365,Bald One,bald one,n
344,366,Police Captain,police captain,n
345,368,Fat One,fat one,n
346,369,Kim,kim,n
347,371,Estelle,estelle,n
348,372,MCINTYRE,mcintyre,n
349,374,Mrs. Bloominstein,mrs bloominstein,n
350,375,Coach Flanagan,coach flanagan,n
351,376,Mr. Seckofsky,mr seckofsky,n
352,377,Mr. Bouvier,mr bouvier,n
353,378,Chauffeur,chauffeur,n
354,379,PRINCIPAL,principal,n
355,380,Homer The Thief,homer the thief,n
356,381,Hezron,hezron,n
357,382,Zohar,zohar,n
358,383,Moses,moses,n
359,384,Cable Guy,cable guy,n
360,385,Comic,comic,n
361,386,Woman #1,woman 1,n
362,387,Woman #2,woman 2,n
363,388,Mexican Announcer,mexican announcer,n
364,389,Representative,representative,n
365,390,Cockfight Announcer,cockfight announcer,n
366,391,Davey,davey,n
367,392,Goliath,goliath,n
368,394,Panelist #1,panelist 1,n
369,395,Blockbuster Announcer,blockbuster announcer,n
370,396,Top Hat Announcer,top hat announcer,n
371,397,Stock Reporter,stock reporter,n
372,398,Boxing Announcer #1,boxing announcer 1,n
373,399,Boxing Announcer #2,boxing announcer 2,n
374,400,Challenger,challenger,n
375,401,Referee,referee,n
376,402,Kindly Old Gent,kindly old gent,n
377,403,Stanley,stanley,n
378,405,Busboy,busboy,n
379,406,Australian Boy,australian boy,n
380,407,Australian Girl,australian girl,n
381,408,Jeweler,jeweler,n
382,409,Senator Mendoza,senator mendoza,n
383,410,Board Member,board member,n
384,411,Female Commando,female commando,n
385,412,Theatre Manager,theatre manager,n
386,413,Floozy,floozy,n
387,416,Attendant,attendant,n
388,418,Policeman,policeman,n
389,419,Executive #2,executive 2,n
390,420,Head Engineer,head engineer,n
391,421,Engineer #2,engineer 2,n
392,422,Engineer #3,engineer 3,n
393,423,Female Singer,female singer,n
394,424,Counter Man,counter man,n
395,425,Flanders's Thoughts,flanderss thoughts,n
396,428,Kelly,kelly,n
397,430,Father McGrath,father mcgrath,n
398,431,Salesboy,salesboy,n
399,432,Hula Woman,hula woman,n
400,434,BEA,bea,n
401,435,Checker,checker,n
422,437,Tracker,tracker,n
423,438,Mr. Hazelwood,mr hazelwood,n
424,439,Cabbie,cabbie,n
425,440,KENT,kent,n
426,441,MONROE,monroe,n
427,443,Old Man Daly,old man daly,n
428,444,Old Man McGrath,old man mcgrath,n
429,445,Plato,plato,n
430,446,Croupier,croupier,n
431,447,Recorded Announcer,recorded announcer,n
432,448,Old Woman In Line,old woman in line,n
433,449,Monitor #1,monitor 1,n
434,450,Monitor #2,monitor 2,n
435,451,Female Newscaster,female newscaster,n
436,452,Mr. Schindler,mr schindler,n
437,453,Student,student,n
438,454,Registrar,registrar,n
439,455,Professor Lombardo,professor lombardo,n
440,456,BART & LISA,bart lisa,n
441,457,Artist,artist,n
442,458,Delivery Man,delivery man,n
443,459,MR. BURNS' GEOMETRIC SHAPES,mr burns geometric shapes,n
444,460,RINGO,ringo,n
445,461,WETHERBY,wetherby,n
446,462,MRS. HOOVER,mrs hoover,n
447,463,Chuck,chuck,n
448,466,Classmate,classmate,n
449,467,Terri/sherri,terrisherri,n
450,468,Woman In Booth,woman in booth,n
451,469,Landlady,landlady,n
452,470,Kid Reporter,kid reporter,n
453,471,Husband Of Marge's Friend,husband of marges friend,n
454,472,Sophisticate #1,sophisticate 1,n
455,473,Sophisticate #2,sophisticate 2,n
456,474,Sophisticate #3,sophisticate 3,n
457,475,Sultan,sultan,n
458,476,Worm Man,worm man,n
459,480,Convict,convict,n
460,481,Customer,customer,n
461,482,DIAMOND JOE,diamond joe,n
462,483,Lost And Found Guy,lost and found guy,n
463,484,Radioactive Man,radioactive man,n
464,485,Fallout Boy,fallout boy,n
465,486,Convention Director,convention director,n
466,487,BUDDY,buddy,n
467,488,Dealer,dealer,n
468,489,Young Patty,young patty,n
469,490,Young Selma,young selma,n
470,492,Older Patty,older patty,n
471,493,Older Selma,older selma,n
472,494,Adult Narrator,adult narrator,n
473,495,Teller,teller,n
474,497,Asa,asa,n
475,498,Soap Actress,soap actress,n
476,499,Soap Actor,soap actor,n
477,500,Osvaldo,osvaldo,n
478,501,Mail Person,mail person,n
479,502,Roman,roman,n
480,503,Postal Worker,postal worker,n
481,505,Joey,joey,n
482,506,Guard #1,guard 1,n
483,507,Guard #2,guard 2,n
484,509,Psychiatrist,psychiatrist,n
485,510,Orderly,orderly,n
486,512,Floyd,floyd,n
487,513,Bart's Head,barts head,n
488,515,Voice On Phone,voice on phone,n
489,519,Leon Kompowsky,leon kompowsky,n
490,520,Minnesota Girl,minnesota girl,n
491,521,Alabama Boy,alabama boy,n
492,522,QUEENS BOY,queens boy,n
493,523,Female Judge,female judge,n
494,524,Dad,dad,n
495,525,Flight Attendant,flight attendant,n
496,527,Irs Man,irs man,n
497,528,Hotel Guest,hotel guest,n
498,529,Miss Crowley,miss crowley,n
499,530,Truong/maria,truongmaria,n
500,531,TRUONG,truong,n
501,532,MARIA,maria,n
502,534,Worker,worker,n
503,535,Guide,guide,n
504,536,Lobbyist,lobbyist,n
505,537,Arnold,arnold,n
506,538,Newlywed Wife,newlywed wife,n
507,539,White Trash Woman #1,white trash woman 1,n
508,540,Man #3,man 3,n
509,541,Old Timer,old timer,n
510,542,Guy,guy,n
511,543,Songster,songster,n
512,544,Page,page,n
513,545,Senator,senator,n
514,546,Oil Developer,oil developer,n
531,547,Agent,agent,n
532,548,Speaker,speaker,n
533,549,Majority Leader,majority leader,n
534,550,Everyone Else,everyone else,n
535,551,President,president,n
536,552,Foreign Dignitary,foreign dignitary,n
537,553,Paper Boy,paper boy,n
538,554,Sportscaster #1,sportscaster 1,n
539,555,Girl,girl,n
540,556,Neighborhood Guy,neighborhood guy,n
541,557,Homemaker,homemaker,n
542,558,Landscaper,landscaper,n
543,559,Choreographer,choreographer,n
544,560,George Washington,george washington,n
545,561,Video Voice,video voice,n
546,562,Man Shopper,man shopper,n
547,563,HOMER (CONT'D,homer contd,n
548,564,Collection Agent,collection agent,n
549,565,Wife,wife,n
550,566,Shoppers,shoppers,n
551,569,Legs,legs,n
552,571,Race Announcer,race announcer,n
553,572,Jack Larson,jack larson,n
554,573,Fbi Agent #1,fbi agent 1,n
555,574,Fbi Agent #2,fbi agent 2,n
556,575,Rival Gang Leader,rival gang leader,n
557,576,Psychic,psychic,n
558,577,Skinner Body,skinner body,n
559,578,Prosecuting Attorney,prosecuting attorney,n
560,579,Joe,joe,n
561,580,Neil,neil,n
562,581,Calm Woman,calm woman,n
563,582,Mr. Devereaux,mr devereaux,n
564,583,Margarita,margarita,n
565,584,Program Voices,program voices,n
566,586,Female Worker,female worker,n
567,587,Male Worker,male worker,n
568,588,Contestant,contestant,n
569,589,Magic Johnson,magic johnson,n
570,590,Aristotle,aristotle,n
571,592,Thought Bubble Barney,thought bubble barney,n
572,593,Female Voice,female voice,n
573,594,SCOTT,scott,n
574,595,Miss Lois Pennycandy,miss lois pennycandy,n
575,596,Sexy Female Recording,sexy female recording,n
576,597,PENNYCANDY,pennycandy,n
577,600,Rabbi #1,rabbi 1,n
578,601,Rowdy Rabbi,rowdy rabbi,n
579,602,Martian,martian,n
580,604,Caller,caller,n
