,id,name,gender
71,8,Bart Simpson,m
73,17,Moe Szyslak,m
74,3,Seymour Skinner,m
75,11,Ned Flanders,m
76,31,Grampa Simpson,m
77,71,Chief Wiggum,m
78,25,Milhouse Van Houten,m
79,14,Waylon Smithers,m
80,101,Nelson Muntz,m
82,33,Announcer,m
84,18,Barney Gumble,m
86,38,Martin Prince,m
87,52,Otto Mann,m
88,91,Lou,m
89,5,Todd Flanders,m
90,96,Dr. Marvin Monroe,m
91,43,Dr. J. Loren Pyror,m
92,6,Dewey Largo,m
93,90,Eddie,m
94,21,Teacher,m
95,28,Clerk,m
96,32,Father,m
100,19,Interviewer,m
101,45,Ethan Foley,m
103,23,Voice,m
182,211,Kent Brockman,m
183,208,Apu Nahasapeemapetilon,m
184,165,Lenny Leonard,m
185,170,Carl Carlson,m
186,153,Sideshow Bob,m
187,119,Ralph Wiggum,m
188,144,Jimbo Jones,m
190,145,Kearney Zzyzwicz,m
191,146,DOLPH,m
192,214,Judge Snyder,m
193,163,Jacques,m
194,124,Salesman,m
196,121,Rod Flanders,m
197,183,Manager,m
198,111,Bleeding Gums Murphy,m
199,123,Cowboy Bob,m
201,171,Waiter,m
202,187,Gulliver Dark,m
203,197,Cesar,m
204,120,Stan,m
205,115,Cashier,m
206,191,Krusty Doll,m
207,213,Lawyer,m
301,240,Mayor Joe Quimby,m
304,273,Jasper Beardly,m
305,311,Man,m
306,238,Marty,m
307,272,TV Announcer,m
308,239,Bill,m
309,218,Director,m
310,222,Arnie Pye,m
312,256,Karl,m
313,223,Radio Announcer,m
314,313,British Commentator,m
315,270,DANIELSON,m
402,332,Dr. Julius Hibbert,m
403,404,Groundskeeper Willie,m
404,426,Troy McClure,m
405,347,Lionel Hutz,m
406,417,HERB,m
408,335,"Roger Meyers, Jr.",m
409,351,Blue-Haired Lawyer,m
410,349,Dr. Nick Riviera,m
411,373,Artie Ziff,m
412,353,Larry,m
413,370,Principal Dondelinger,m
415,356,Akira,m
416,429,Jack,m
417,330,Track Announcer,m
418,346,Devil,m
419,433,Farmer,m
420,345,Reporter,m
421,331,MURDOCK,m
515,442,Professor Jonathan Frink,m
516,518,Snake Jailbird,m
518,465,BERGSTROM,m
519,511,MICHAEL,m
520,526,Pilot,m
521,478,John,m
522,508,Host,m
523,436,Guard,m
525,479,Captain,m
527,516,Doctor,m
529,517,Dave,m
530,514,Wiseguy,m
627,568,Fat Tony,m
628,570,Louie,m
629,598,Rabbi Hyman Krustofsky,m
631,615,Colonel,m
632,638,Football Announcer,m
633,567,Executive,m
634,603,D.J.,m
636,585,Instructor,m
637,652,Aide,m
741,699,Sideshow Mel,m
742,742,Tour Guide,m
743,657,HUGH,m
745,767,Employee,m
746,741,Mike Scioscia,m
747,668,Charlie,m
748,715,Nick,m
851,817,Kirk Van Houten,m
853,774,God,m
854,803,Nigel Bakerbutcher,m
955,944,Captain Horatio McCallister,m
956,963,Hans Moleman,m
957,923,Squeaky-Voiced Teen,m
958,978,LANLEY,m
960,908,Bumblebee Man,m
961,880,Santa Claus,m
1067,1078,Gary Chalmers,m
1068,1046,Baseball Announcer,m
1069,1071,ARTIE,m
1173,1197,George H.W. Bush,m
1174,1108,Warden,m
1277,1239,GOODMAN,m
1280,1223,Edward,m
1281,1260,Accountant,m
1385,1403,Bill Clinton,m
1386,1337,James Woods,m
1388,1370,STILLWATER,m
1389,1333,Technician,m
1489,1435,Luigi,m
1490,1452,Old Jewish Man,m
1491,1501,Birch Barlow,m
1492,1444,Auctioneer,m
1600,1583,Number One,m
1806,1751,Producer,m
1904,1899,HURLBUT,m
1905,1867,Disco Stu,m
1906,1911,Chester Lampwick,m
1907,1923,Macarthur Parker,m
1908,1858,Detective,m
2013,2040,Hank Scorpio,m
2117,2113,Dr. Foster,m
2218,2187,Cecil Terwilliger,m
2220,2209,Rex Banner,m
2320,2277,Duffman,m
2321,2304,Armin,m
2322,2269,Commandant,m
2323,2303,Sgt. Skinner,m
2426,2396,Cooder,m
2427,2405,Glen,m
2533,2579,Alec Baldwin,m
2637,2630,Mark Hamill,m
2638,2580,Ron Howard,m
2952,2947,Jim Hope,m
2953,2940,Meathook,m
2954,2949,Male Executive,m
3055,3076,Eduardo,m
3058,3069,Sheriff,m
3059,3040,Casino Manager,m
3163,3155,Johnny Tightlips,m
3372,3350,Hobo,m
3373,3377,Pierce Brosnan,m
3475,3498,BUCK,m
3476,3503,Zack,m
3477,3440,Gabriel,m
3689,3654,Mick Jagger,m
3792,3800,George Plimpton,m
3793,3759,Colt,m
3794,3838,Stark Richdale,m
3899,3922,Frink Senior,m
3900,3852,Grady,m
4003,4035,Henry VIII,m
4106,4086,Simon,m
4205,4169,10-Year-Old Homer,m
4206,4185,Nash Castor,m
4207,4203,Inspector Wiggum,m
4208,4247,Goose Gladwell,m
4407,4405,Tab Spangler,m
4408,4439,Father Sean,m
4409,4386,Bender,m
4512,4577,Coach Krupt,m
4513,4558,MASON,m
4609,4606,Charles Heathbar,m
4610,4627,Richard Dean Anderson,m
4611,4651,Bligh,m
5016,4987,Colby,m
5017,5032,Milo,m
5018,5014,Ted Nugent,m
5121,5096,Prof. August,m
5224,5252,Alberto,m
5530,5586,Jakob,m
5631,5641,THE REAL BOB,m
5632,5653,Simon Cowell,m
5733,5734,Fbi Supervisor,m
5734,5807,Randy Newman,m
5735,5786,Dr. Kissingher,m
5834,5877,Wayne,m
5835,5839,Dr. Zander,m
5836,5824,Walther Hotenhoffer,m
5837,5829,Chong,m
5941,5939,Robert Marlowe,m
5942,5933,Slick Publisher,m
6042,6087,Rowan Priddis,m
6043,6108,CAIN,m
6144,6212,Terence,m
6244,6326,Rev. Hooper,m
6246,6240,Lloyd,m
6553,6623,MOOG,m
6659,2,Homer Simpson,m
6660,15,C. Montgomery Burns,m
6661,139,Krusty the Clown,m
6662,140,Rev. Timothy Lovejoy,m
6663,801,Comic Book Guy,m
6664,56,Narrator,m
6665,1413,Cletus Spuckler,m
6666,2369,Gil Gunderson,m
6667,1508,The Rich Texan,m
6668,1114,Rainier Wolfcastle,m
6670,3843,Declan Desmond,m
6673,2256,Frank Grimes,m
6674,6190,Dan Gillick,m
6675,2065,Drederick Tatum,m
6676,5152,Chazz Busby,m
6677,3853,Julio,m
6678,5848,Raymondo,m
6682,2513,Ray Magini,m
6684,108,Herman Hermann,m
6685,6720,ELON MUSK,m
6686,6500,Diggs,m
6687,1653,Jay,m
6688,5369,Parson,m
6690,5830,Cheech,m
6691,2675,Wally,m
6692,844,Llewellyn Sinclair,m
6693,3266,L.T. Smash,m
6694,1548,Ben,m
6695,6654,PROFESSOR FARNSWORTH,m
6696,156,Security Guard,m
6697,5012,Dwight,m
6698,3995,Roofi,m
6699,3289,Howard K. Duff VIII,m
6701,5453,Lyle McCarthy,m
6702,5547,Bob Costas,m
6705,5228,Patrick,m
6708,2973,Brother Faith,m
6709,3159,Jesse Grass,m
6711,669,Horst,m
6714,2859,Lifeways Editor,m
6715,4821,Captain Jack,m
6716,6606,CAPTAIN BOWDITCH,m
